Deborah,F,739644
Dessa,F,1669
Easter,F,5508
Eddie,F,15686
Emelia,F,8023
Emmie,F,6174
Imogene,F,27299
India,F,21555
Jeanne,F,162858
Joan,F,479674
Lenore,F,22267
Liddie,F,1276
Lotta,F,493
Mame,F,541
Nevada,F,2852
Rachael,F,81693
Sina,F,1593
Willa,F,24959
Aline,F,14283
Beryl,F,10044
Charles,F,12377
Daisey,F,2330
Dorcas,F,6989
Edmonia,F,898
Effa,F,312
Eldora,F,4054
Eloise,F,47790
Emmer,F,2155
Era,F,5508
Gena,F,12775
Henry,F,4485
Iris,F,75915
Izora,F,1124
Lennie,F,4509
Lissie,F,933
Mallie,F,3004
Malvina,F,1674
Mathilde,F,1556
Mazie,F,7806
Queenie,F,3652
Robert,F,20099
Rosina,F,5308
Salome,F,3188
Theodora,F,9722
Therese,F,34912
Vena,F,2745
Wanda,F,280955
Wilda,F,12752
Altha,F,3364
Anastasia,F,39107
Besse,F,671
Bird,F,121
Birtie,F,946
Clarissa,F,37392
Claude,F,953
Delilah,F,31276
Diana,F,355019
Emelie,F,2195
Erna,F,9042
Fern,F,36298
Florida,F,3527
Frona,F,873
Hilma,F,2999
Joseph,F,10603
Juliet,F,26080
Leonie,F,1605
Lugenia,F,781
Mammie,F,2522
Manda,F,3288
Manerva,F,60
Manie,F,529
Nella,F,3680
Paulina,F,16709
Philomena,F,9043
Rae,F,21444
Selina,F,17331
Sena,F,2615
Theodosia,F,1478
Tommie,F,17301
Una,F,7564
Vernie,F,3958
Adela,F,12067
Althea,F,16393
Amalia,F,11346
Amber,F,368216
Angelina,F,114109
Annabelle,F,51947
Anner,F,1033
Arie,F,2935
Clarice,F,25040
Corda,F,567
Corrie,F,8171
Dell,F,2544
Dellar,F,576
Donie,F,956
Doris,F,461601
Elda,F,8823
Elinor,F,20035
Emeline,F,2841
Emilia,F,25241
Esta,F,4387
Estell,F,4232
Etha,F,1802
Fred,F,2029
Hope,F,84964
Indiana,F,1112
Ione,F,9844
Jettie,F,3601
Johnnie,F,48826
Josiephine,F,1061
Kitty,F,11601
Lavina,F,6410
Leda,F,3274
Letta,F,746
Mahala,F,2630
Marcia,F,132922
Margarette,F,6068
Maudie,F,11757
Maye,F,1871
Norah,F,16470
Oda,F,1325
Patty,F,62418
Paula,F,277326
Permelia,F,551
Rosalia,F,7217
Roxanna,F,12759
Sula,F,1326
Vada,F,9885
Winnifred,F,4635
Adline,F,1177
Almira,F,1694
Alvena,F,1601
Arizona,F,2349
Becky,F,86491
Bennie,F,9701
Bernadette,F,53159
Camille,F,63201
Cordia,F,1456
Corine,F,14503
Dicie,F,1167
Dove,F,761
Drusilla,F,2876
Elena,F,66913
Elenora,F,3295
Elmina,F,719
Ethyl,F,2395
Evalyn,F,7298
Evelina,F,4201
Faye,F,67342
Huldah,F,850
Idell,F,3425
Inga,F,3945
Irena,F,1906
Jewell,F,29204
Kattie,F,5552
Lavenia,F,1678
Leslie,F,264953
Lovina,F,1993
Lulie,F,182
Magnolia,F,7770
Margeret,F,972
Margery,F,15740
Media,F,473
Millicent,F,10638
Nena,F,4785
Ocie,F,4052
Orilla,F,225
Osie,F,1354
Pansy,F,10945
Ray,F,5374
Rosia,F,3506
Rowena,F,10185
Shirley,F,684847
Tabitha,F,57250
Thomas,F,8446
Verdie,F,2614
Walter,F,3633
Zetta,F,1986
Zoa,F,463
Zona,F,4453
Albertina,F,1635
Albina,F,4929
Alyce,F,17059
Amie,F,21185
Angela,F,660768
Annis,F,2914
Carol,F,815921
Carra,F,1297
Clarence,F,1859
Clarinda,F,1325
Delphia,F,4221
Dillie,F,537
Doshie,F,799
Drucilla,F,3553
Etna,F,676
Eugenie,F,3345
Eulalia,F,4357
Eve,F,23221
Felicia,F,90710
Florance,F,1672
Fronie,F,789
Geraldine,F,210117
Gina,F,151912
Glenna,F,25540
Grayce,F,4155
Hedwig,F,3077
Jessica,F,1042201
Jossie,F,1962
Katheryn,F,14709
Katy,F,20002
Lea,F,30163
